
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
69,Neil O'Donnell,TEN,36,,4,0,,3,5,60.0,24,0,0.0,0,0.0,15,4.8,4.8,8.0,6.0,72.1,0,0,4.80,4.80,0.0,,
70,Jesse Palmer,NYG,24,,2,0,,3,4,75.0,30,0,0.0,0,0.0,14,7.5,7.5,10.0,15.0,95.8,0,0,7.50,7.50,0.0,,
71,Randy Moss*,MIN,25,WR,16,16,,1,3,33.3,13,1,33.3,0,0.0,13,4.3,11.0,13.0,0.8,87.5,0,0,4.33,11.00,0.0,,
72,Sage Rosenfels,MIA,24,,4,0,,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
73,James Allen,HOU,27,rb,16,5,,1,2,50.0,5,1,50.0,0,0.0,5,2.5,12.5,5.0,0.3,95.8,0,0,2.50,12.50,0.0,,
74,Rohan Davey,NWE,24,,2,0,,1,2,50.0,3,0,0.0,0,0.0,3,1.5,1.5,3.0,1.5,56.2,0,0,1.50,1.50,0.0,,
75,Kevin Johnson,CLE,26,WR,16,15,,1,2,50.0,33,1,50.0,0,0.0,33,16.5,26.5,33.0,2.1,135.4,0,0,16.50,26.50,0.0,,
76,Dorsey Levens,PHI,32,,16,0,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
77,Alex Van Pelt,BUF,32,,2,0,,2,2,100.0,5,0,0.0,0,0.0,4,2.5,2.5,2.5,2.5,79.2,0,0,2.50,2.50,0.0,,
78,Frank Wycheck,TEN,31,TE,15,15,,1,2,50.0,13,0,0.0,0,0.0,13,6.5,6.5,13.0,0.9,70.8,0,0,6.50,6.50,0.0,,
79,Richie Anderson,NYJ,31,FB,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
80,Dee Brown,CAR,24,,14,3,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
81,Reche Caldwell,SDG,23,,16,2,,1,1,100.0,20,0,0.0,0,0.0,20,20.0,20.0,20.0,1.3,118.7,0,0,20.00,20.00,0.0,,
