Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
81,Antwaan Randle El,WAS,28,WR,15,13,,1,2,50,19,0,0,0,0,19,9.5,9.5,19,1.3,83.3,54.42,0,0,9.5,9.5,0,,,2007
82,Sidney Rice,MIN,21,,13,4,,2,2,100,94,0,0,0,0,79,47,47,47,7.2,118.7,100,0,0,47,47,0,,,2007
83,Marty Booker,MIA,31,WR,15,15,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,89.1,0,0,0,0,0,,,2007
84,Mark Clayton,BAL,25,WR,16,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1.66,0,0,0,0,0,,,2007
85,Ronald Curry,OAK,28,WR,16,13,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.84,0,0,0,0,0,,,2007
86,Robbie Gould,CHI,26,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,,2007
87,Matt Gutierrez,NWE,23,,5,0,,1,1,100,15,0,0,0,0,15,15,15,15,3,118.7,99.99,0,0,15,15,0,,,2007
88,Steven Jackson,STL,24,RB,12,12,,1,1,100,2,1,100,0,0,2,2,22,2,0.2,118.7,99.74,0,0,2,22,0,,,2007
89,Larry Johnson,KAN,28,RB,8,8,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1.64,0,0,0,0,0,,,2007
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2007
90,Chris Kluwe,MIN,26,,16,0,,1,1,100,27,0,0,0,0,27,27,27,27,1.7,118.7,,0,0,27,27,0,,,2007
91,Greg Lewis,PHI,27,,15,1,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.64,0,0,0,0,0,,,2007
92,Marshawn Lynch,BUF,21,RB,13,13,,1,1,100,8,1,100,0,0,8,8,28,8,0.6,139.6,94.23,0,0,8,28,0,,,2007
93,Mewelde Moore,MIN,25,,12,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,2.59,0,0,0,0,0,,,2007
94,Willie Parker*,PIT,27,RB,15,15,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,100,0,0,0,0,0,,,2007
95,Adrian Peterson,CHI,28,rb,16,5,,1,1,100,9,1,100,0,0,9,9,29,9,0.6,143.7,100,0,0,9,29,0,,,2007
96,Clinton Portis,WAS,26,RB,16,16,,1,1,100,15,1,100,0,0,15,15,35,15,0.9,158.3,99.97,1,2,6.5,16.5,50,,,2007
97,Daniel Sepulveda,PIT,23,,16,0,,1,1,100,32,0,0,0,0,32,32,32,32,2,118.7,,0,0,32,32,0,,,2007
98,Brad Smith,NYJ,24,WR,16,9,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,0,,,2007
99,Chester Taylor,MIN,28,RB,14,8,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.8,0,0,0,0,0,,,2007
100,LaDainian Tomlinson*+,SDG,28,RB,16,16,,1,1,100,17,1,100,0,0,17,17,37,17,1.1,158.3,100,0,0,17,37,0,,,2007
101,Leon Washington,NYJ,25,,16,4,,1,1,100,36,0,0,0,0,36,36,36,36,2.3,118.7,100,0,0,36,36,0,,,2007
