
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
36,Jeff Garcia,PHI,36,qb,8,6,5-1-0,116,188,61.7,1309,10,5.3,2,1.1,65,7.0,7.5,11.3,163.6,95.8,64.12,6,40,6.54,7.11,3.1,2,3
37,Byron Leftwich,JAX,26,qb,6,6,3-3-0,108,183,59.0,1159,7,3.8,5,2.7,51,6.3,5.9,10.7,193.2,79.0,47.88,9,48,5.79,5.34,4.7,0,1
38,Drew Bledsoe,DAL,34,qb,6,6,3-3-0,90,169,53.3,1164,7,4.1,8,4.7,51,6.9,5.6,12.9,194.0,69.2,33.6,16,107,5.71,4.52,8.6,,
39,Kurt Warner,ARI,35,qb,6,5,1-4-0,108,168,64.3,1377,6,3.6,5,3.0,64,8.2,7.6,12.8,229.5,89.3,33.85,14,104,6.99,6.42,7.7,,
40,Seneca Wallace,SEA,26,,8,4,2-2-0,82,141,58.2,927,8,5.7,7,5.0,49,6.6,5.5,11.3,115.9,76.2,45.23,14,83,5.45,4.45,9.0,1,1
41,Jay Cutler,DEN,23,qb,5,5,2-3-0,81,137,59.1,1001,9,6.6,5,3.6,71,7.3,7.0,12.4,200.2,88.5,35.96,13,85,6.11,5.81,8.7,,
42,Daunte Culpepper,MIA,29,,4,4,1-3-0,81,134,60.4,929,2,1.5,3,2.2,52,6.9,6.2,11.5,232.3,77.0,20.17,21,150,5.03,4.41,13.5,0,1
43,Derek Anderson,CLE,23,,5,3,0-3-0,66,117,56.4,793,5,4.3,8,6.8,66,6.8,4.6,12.0,158.6,63.1,24.03,8,66,5.82,3.74,6.4,1,1
44,Chris Simms,TAM,26,,3,3,0-3-0,58,106,54.7,585,1,0.9,7,6.6,55,5.5,2.7,10.1,195.0,46.3,17.82,4,32,5.03,2.35,3.6,,
45,Tim Rattay,TAM,29,,4,2,1-1-0,61,101,60.4,748,4,4.0,2,2.0,64,7.4,7.3,12.3,187.0,88.2,57.56,4,18,6.95,6.86,3.8,,
46,Chris Weinke,CAR,34,,3,3,1-2-0,56,96,58.3,625,2,2.1,4,4.2,38,6.5,5.1,11.2,208.3,67.4,24.51,10,55,5.38,4.06,9.4,,
47,Kerry Collins,TEN,34,,4,3,0-3-0,42,90,46.7,549,1,1.1,6,6.7,36,6.1,3.3,13.1,137.3,42.3,21.03,4,23,5.60,2.94,4.3,,
48,Tarvaris Jackson,MIN,23,,4,2,0-2-0,47,81,58.0,475,2,2.5,4,4.9,50,5.9,4.1,10.1,118.8,62.5,9.29,8,37,4.92,3.35,9.0,,
49,Cleo Lemon,MIA,27,,4,1,0-1-0,38,68,55.9,412,2,2.9,1,1.5,38,6.1,6.0,10.8,103.0,77.6,42.54,5,24,5.32,5.25,6.8,,
50,Kyle Boller,BAL,25,,5,0,,33,55,60.0,485,5,9.1,2,3.6,77,8.8,9.0,14.7,97.0,104.0,60.06,3,16,8.09,8.26,5.2,,
51,Charlie Batch,PIT,32,,8,1,1-0-0,31,53,58.5,492,5,9.4,0,0.0,87,9.3,11.2,15.9,61.5,121.0,81.94,3,13,8.55,10.34,5.4,1,1
52,Sage Rosenfels,HOU,28,,4,0,,27,39,69.2,265,3,7.7,1,2.6,28,6.8,7.2,9.8,66.3,103.0,52.45,1,5,6.50,6.88,2.5,,
53,A.J. Feeley,PHI,29,,2,0,,26,38,68.4,342,3,7.9,0,0.0,89,9.0,10.6,13.2,171.0,122.9,84,1,10,8.51,10.05,2.6,0,1
54,Brian Griese,CHI,31,,6,0,,18,32,56.3,220,1,3.1,2,6.3,75,6.9,4.7,12.2,36.7,62.0,15.12,3,22,5.66,3.66,8.6,1,1
55,Matt Schaub,ATL,25,,16,0,,18,27,66.7,208,1,3.7,2,7.4,47,7.7,5.1,11.6,13.0,71.2,69.91,2,8,6.90,4.48,6.9,,
56,Jamie Martin,NOR,36,,16,0,,16,24,66.7,208,1,4.2,1,4.2,65,8.7,7.6,13.0,13.0,90.3,1.99,5,18,6.55,5.69,17.2,,
57,Quinn Gray,JAX,27,,2,0,,13,22,59.1,166,0,0.0,0,0.0,32,7.5,7.5,12.8,83.0,82.8,79.44,1,11,6.74,6.74,4.3,,
58,Brooks Bollinger,MIN,27,,2,0,,13,18,72.2,146,0,0.0,1,5.6,50,8.1,5.6,11.2,73.0,72.9,13.2,6,42,4.33,2.46,25.0,,
59,Aaron Rodgers,GNB,23,,2,0,,6,15,40.0,46,0,0.0,0,0.0,16,3.1,3.1,7.7,23.0,48.2,3.46,3,18,1.56,1.56,16.7,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
60,Marques Tuiasosopo,OAK,27,,2,0,,6,13,46.2,68,1,7.7,2,15.4,29,5.2,-0.2,11.3,34.0,48.4,73.16,0,0,5.23,-0.15,0.0,,
61,Brett Basanez,CAR,23,,1,0,,6,11,54.5,56,0,0.0,1,9.1,18,5.1,1.0,9.3,56.0,30.9,29.1,0,0,5.09,1.00,0.0,,
62,Matt Cassel,NWE,24,,6,0,,5,8,62.5,32,0,0.0,0,0.0,10,4.0,4.0,6.4,5.3,70.8,3.56,3,15,1.55,1.55,27.3,,
63,Brodie Croyle,KAN,23,,2,0,,3,7,42.9,23,0,0.0,2,28.6,11,3.3,-9.6,7.7,11.5,11.9,0.14,1,10,1.63,-9.63,12.5,,
64,Gus Frerotte,STL,35,,1,0,,1,3,33.3,27,0,0.0,0,0.0,27,9.0,9.0,27.0,27.0,67.4,70.65,0,0,9.00,9.00,0.0,,
65,Antwaan Randle El,WAS,27,WR,16,16,,2,3,66.7,88,1,33.3,0,0.0,48,29.3,36.0,44.0,5.5,149.3,100,0,0,29.33,36.00,0.0,,
66,Vinny Testaverde,NWE,43,,3,0,,2,3,66.7,29,1,33.3,0,0.0,23,9.7,16.3,14.5,9.7,137.5,2.54,0,0,9.67,16.33,0.0,,
67,LaDainian Tomlinson*+,SDG,27,RB,16,16,,2,3,66.7,20,2,66.7,0,0.0,19,6.7,20.0,10.0,1.3,125.0,99.79,0,0,6.67,20.00,0.0,,
68,Anthony Wright,CIN,30,,4,0,,3,3,100.0,31,0,0.0,0,0.0,22,10.3,10.3,10.3,7.8,109.7,21.14,0,0,10.33,10.33,0.0,,
69,Ronald Curry,OAK,27,,16,4,,0,2,0.0,0,0,0.0,1,50.0,0,0.0,-22.5,,0.0,0.0,0.05,0,0,0.00,-22.50,0.0,,
70,Billy Volek,SDG,30,,1,0,,1,2,50.0,4,0,0.0,0,0.0,4,2.0,2.0,4.0,4.0,56.2,0.53,1,6,-0.67,-0.67,33.3,,
