Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
75,Craig Hentrich,TEN,30,,16,0,,0,2,0,0,0,0,1,50,0,0,-22.5,,0,0,0,0,0,-22.5,0,,,2001
76,Deuce McAllister,NOR,23,,16,4,,1,2,50,12,1,50,0,0,12,6,16,12,0.8,108.3,0,0,6,16,0,,,2001
77,Chris Mohr,ATL,35,,16,0,,2,2,100,40,0,0,0,0,42,20,20,20,2.5,118.7,0,0,20,20,0,,,2001
78,David Patten,NWE,27,WR,16,14,,1,2,50,60,1,50,1,50,60,30,17.5,60,3.8,95.8,0,0,30,17.5,0,,,2001
79,Tim Rattay,SFO,24,,3,0,,2,2,100,21,0,0,0,0,20,10.5,10.5,10.5,7,110.4,0,0,10.5,10.5,0,,,2001
80,Lamont Warren,DET,28,,16,3,,0,2,0,0,0,0,1,50,0,0,-22.5,,0,0,0,0,0,-22.5,0,,,2001
81,Mitch Berger,MIN,29,,12,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
82,Jeff Blake,NOR,31,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
83,Ken Dilger*,IND,30,TE,16,16,,1,1,100,39,1,100,0,0,39,39,59,39,2.4,158.3,0,0,39,59,0,,,2001
84,Corey Dillon*,CIN,27,RB,16,16,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2001
85,Kevin Faulk,NWE,25,,15,1,,1,1,100,23,0,0,0,0,23,23,23,23,1.5,118.7,0,0,23,23,0,,,2001
86,Marshall Faulk*+,STL,28,RB,14,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
87,Joey Galloway,DAL,30,WR,16,16,,1,1,100,-1,0,0,0,0,-1,-1,-1,-1,-0.1,79.2,0,0,-1,-1,0,,,2001
88,Tony Gonzalez*+,KAN,25,TE,16,16,,1,1,100,40,0,0,0,0,40,40,40,40,2.5,118.7,0,0,40,40,0,,,2001
89,Martin Gramatica,TAM,26,,14,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2001
90,Az-Zahir Hakim,STL,24,,16,1,,1,1,100,51,1,100,0,0,51,51,71,51,3.2,158.3,0,0,51,71,0,,,2001
91,Joe Horn*,NOR,29,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
92,Richard Huntley,CAR,29,RB,14,9,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1,0,0,0,50,,,2001
93,Leon Johnson,CHI,27,,12,0,,1,1,100,18,0,0,0,0,18,18,18,18,1.5,118.7,0,0,18,18,0,,,2001
94,LaMont Jordan,NYJ,23,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
95,Micah Knorr,DAL,26,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
96,Kevin Lockett,WAS,27,,16,0,,1,1,100,31,1,100,0,0,31,31,51,31,1.9,158.3,0,0,31,51,0,,,2001
97,Curtis Martin*,NYJ,28,RB,16,16,,1,1,100,18,1,100,0,0,18,18,38,18,1.1,158.3,0,0,18,38,0,,,2001
98,Brad Maynard,CHI,27,,16,0,,1,1,100,27,1,100,0,0,27,27,47,27,1.7,158.3,0,0,27,47,0,,,2001
99,Freddie Mitchell,PHI,23,,15,1,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
100,Brian Moorman,BUF,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
101,Randy Moss,MIN,24,WR,16,16,,1,1,100,29,0,0,0,0,29,29,29,29,1.8,118.7,0,0,29,29,0,,,2001
102,Kyle Richardson,BAL,28,,16,0,,1,1,100,-11,0,0,0,0,-11,-11,-11,-11,-0.7,79.2,0,0,-11,-11,0,,,2001
103,Mark Royals,TAM,36,,16,0,,1,1,100,5,0,0,0,0,5,5,5,5,0.3,87.5,0,0,5,5,0,,,2001
104,Frank Sanders,ARI,28,WR,15,13,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
105,Tom Tupa,NYJ,35,,15,0,,1,1,100,9,0,0,0,0,9,9,9,9,0.6,104.2,0,0,9,9,0,,,2001
106,Hines Ward*,PIT,25,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1,3,-1.5,-1.5,50,,,2001
107,Frank Wycheck,TEN,30,TE,16,16,,1,1,100,21,0,0,0,0,21,21,21,21,1.3,118.7,0,0,21,21,0,,,2001
