
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
125,Corey Bradford,HOU,28,wr,16,6,,,,,,,,,,,,3,0,
126,Kyle Brady,JAX,31,TE,16,15,,,,,,0,3,2,0,0,,2,0,
127,Tom Brady,NWE,26,QB,16,16,,,,,,0,13,3,-5,0,,,,
128,Colin Branch,CAR,23,,16,0,,,,,,,,,,,,12,0,
129,Deion Branch,NWE,24,WR,15,12,,,,,,,,,,,,3,0,
130,Sam Brandon,DEN,24,FS,16,10,1,0,0,0,9,,,,,,,37,16,
131,Chad Bratzke,IND,32,,16,3,0,0,0,0,1,1,0,0,0,0,3.0,14,8,
132,Tyler Brayton,OAK,24,RDE,16,16,0,0,0,0,1,0,0,1,0,0,2.5,48,13,
133,Drew Brees,SDG,24,QB,11,11,,,,,,0,5,0,-1,0,,1,0,
134,Jack Brewer,MIN,24,,6,0,,,,,,,,,,,,4,1,
135,Doug Brien,NYJ,33,,16,0,,,,,,,,,,,,2,0,
136,Lance Briggs,CHI,23,LLB,16,13,1,45,1,45,4,,,,,,,65,13,
137,Lamont Brightful,BAL,24,,16,0,,,,,,0,2,1,0,0,,4,0,
138,Raheem Brock,IND,25,LDE,16,16,0,0,0,0,3,0,0,3,8,0,2.0,23,14,
139,Lorenzo Bromell,OAK,28,,6,4,,,,,,,,,,,2.0,8,6,
140,Zack Bronson,SFO,29,FS,12,12,1,22,0,22,2,,,,,,,37,5,
141,Keith Brooking*,ATL,28,LILB,16,16,0,0,0,0,3,0,0,2,0,0,,126,18,
142,Aaron Brooks,NOR,27,QB,16,16,,,,,,0,14,0,-21,0,,2,0,
143,Derrick Brooks*,TAM,30,RLB,16,16,2,56,1,44,9,2,0,0,0,0,1.0,71,30,
144,Jermaine Brooks,DAL,24,,1,0,,,,,,,,,,,,2,3,
145,Alex Brown,CHI,24,RDE,16,16,1,0,0,0,6,2,0,1,0,0,5.5,48,10,
146,Antonio Brown,BUF,25,,16,0,,,,,,0,1,1,0,0,,,,
147,Chad Brown,SEA,33,RLB,14,14,1,-1,0,-1,3,1,0,2,0,0,7.0,73,12,
148,Chris Brown,TEN,22,,11,0,,,,,,0,1,0,0,0,,2,0,
149,Chris Brown,JAX,25,,4,0,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Cornell Brown,BAL,28,,16,3,0,0,0,0,2,,,,,,1.0,20,3,
