
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
804,Michael Strahan,NYG,29,LDE,16,16,,,,,,0,0,4,0,0,9.5,50,15,
805,Dana Stubblefield,WAS,30,RDT,15,14,,,,,,0,0,1,0,0,2.5,31,9,
806,Lorenzo Styles,STL,26,rlb,16,5,,,,,,,,,,,1.0,20,7,
807,Chris Sullivan,PIT,27,,15,2,,,,,,0,0,2,0,0,,8,9,
808,Kywin Supernaw,DET,25,,13,3,,,,,,,,,,,,14,10,
809,Patrick Surtain,MIA,24,LCB,16,16,5,55,0,43,0,2,0,1,0,0,1.0,44,9,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
810,Jason Suttle,DEN,26,,5,0,,,,,,0,0,1,0,1,,2,0,
811,Eric Swann,CAR,30,,16,3,,,,,,,,,,,1.0,10,0,
812,Shawn Swayda,ATL,26,,16,0,,,,,,,,,,,1.5,16,8,
813,Harry Swayne,BAL,35,RT,13,13,,,,,,0,0,1,0,0,,,,
814,John Tait,KAN,25,LT,15,15,,,,,,0,0,1,0,0,,,,
815,Barron Tanner,ARI,27,,4,0,,,,,,,,,,,,5,0,
816,Maa Tanuvasa,DEN,30,LDE,16,16,,,,,,0,0,4,38,0,4.0,23,8,
817,Robert Tate,MIN,27,RCB,16,16,2,12,0,12,0,2,0,1,0,0,,59,10,
818,Josh Taves,OAK,28,,16,0,1,24,0,24,0,,,,,,3.0,,,
819,Bobby Taylor,PHI,27,RCB,16,15,3,64,0,38,0,1,0,1,0,0,,39,7,
820,Fred Taylor,JAX,24,RB,13,13,,,,,,0,4,2,-1,0,,,,
821,Henry Taylor,ATL,25,,5,0,,,,,,,,,,,,4,0,
822,Jason Taylor*+,MIA,26,RDE,16,16,1,2,0,2,0,2,0,4,29,1,14.5,37,26,
823,Ryan Taylor,CLE,24,,4,0,,,,,,,,,,,,2,0,
824,Shannon Taylor,SDG,25,,11,0,,,,,,,,,,,,3,0,
825,George Teague,DAL,29,FS,9,9,,,,,,1,0,0,0,0,,38,5,
826,David Terrell,WAS,25,,16,0,,,,,,0,0,2,0,0,,3,0,
827,Corey Terry,NOR,24,,7,0,,,,,,,,,,,,0,1,
828,Keith Thibodeaux,MIN,26,,16,0,1,0,0,0,0,,,,,,,17,1,
829,John Thierry,GNB,29,RDE,16,16,,,,,,,,,,,6.5,32,8,
830,Adalius Thomas,BAL,23,,3,0,,,,,,,,,,,,0,1,
831,Chris Thomas,STL,29,,16,0,,,,,,0,0,1,0,0,,,,
832,Dave Thomas,NYG,32,LCB,16,16,1,0,0,0,0,1,0,0,0,0,,55,6,
833,Edward Thomas,2TM,25,,8,0,,,,,,,,,,,,2,0,
834,Fred Thomas,NOR,27,,11,0,,,,,,1,0,0,0,0,,17,0,
835,Henry Thomas,NWE,35,nt,16,5,1,16,0,16,0,0,0,1,0,0,4.5,24,18,
836,Hollis Thomas,PHI,26,RDT,16,16,,,,,,3,0,1,0,0,4.0,48,12,
837,Kiwaukee Thomas,JAX,23,,16,3,,,,,,0,0,1,0,0,,18,1,
838,Mark Thomas,IND,31,,14,1,,,,,,1,0,0,0,0,5.0,14,5,
839,Orlando Thomas,MIN,28,FS,9,9,1,0,0,0,0,0,0,2,0,0,1.0,31,7,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
840,Ratcliff Thomas,IND,26,,12,0,,,,,,,,,,,,2,1,
841,Robert Thomas,DAL,26,FB,16,15,,,,,,0,2,1,0,0,,,,
842,Rodney Thomas,TEN,27,,16,0,,,,,,0,1,1,0,0,,,,
843,William Thomas,OAK,32,LLB,16,16,6,68,1,46,0,2,0,0,0,0,1.0,69,9,
844,Zach Thomas*,MIA,27,MLB,11,11,1,0,0,0,0,0,0,1,0,0,1.5,58,41,
845,Kevin Thompson,CLE,23,,1,0,,,,,,0,1,1,0,0,,,,
846,Mike Thompson,CLE,29,,12,0,,,,,,,,,,,1.0,14,7,
847,Raynoch Thompson,ARI,23,LLB,11,9,,,,,,,,,,,,30,13,
848,John Thornton,TEN,24,LDT,16,16,,,,,,0,0,1,0,0,4.0,19,9,
849,James Thrash,WAS,25,WR,16,9,,,,,,0,1,1,0,0,,,,
850,Pat Tillman,ARI,24,SS,16,16,1,30,0,27,0,2,0,2,0,0,1.5,109,36,
851,Travares Tillman,BUF,23,,15,4,,,,,,,,,,,,19,3,
852,Jared Tomich,NOR,26,,15,0,,,,,,,,,,,,0,1,
853,Reggie Tongue,SEA,27,ss,16,6,,,,,,1,0,0,0,0,,31,9,
854,Amani Toomer,NYG,26,WR,16,14,,,,,,0,1,1,0,0,,,,
855,Mao Tosi,ARI,24,RDT,15,10,,,,,,,,,,,,33,10,
856,Steve Tovar,SDG,30,,16,0,,,,,,,,,,,,6,2,
857,Lester Towns,CAR,23,MLB,16,14,,,,,,1,0,2,0,0,,79,14,
858,Deshea Townsend,PIT,25,,16,0,,,,,,,,,,,3.5,22,7,
859,James Trapp,BAL,31,,16,1,,,,,,,,,,,2.0,19,2,
860,Keith Traylor,DEN,31,LDT,16,16,,,,,,2,0,1,0,0,1.0,33,4,
861,Jeremiah Trotter*+,PHI,23,MLB,16,16,1,27,1,27,0,,,,,,3.0,100,20,
862,Winfred Tubbs,SFO,30,RLB,14,14,1,11,0,11,0,0,0,1,0,0,2.0,56,26,
863,Jessie Tuggle,ATL,35,mlb,8,7,,,,,,,,,,,,26,7,
864,Van Tuinei,CHI,29,,14,2,,,,,,1,0,0,0,0,1.0,6,3,
865,Maugaula Tuitele,NWE,22,,1,0,,,,,,,,,,,,0,1,
866,Kyle Turley+,NOR,25,RT,16,16,,,,,,0,0,4,-6,0,,,,
867,Scott Turner,SDG,28,,16,2,1,75,1,75,0,,,,,,,8,0,
868,Jeff Ulbrich,SFO,23,,4,0,,,,,,,,,,,,0,1,
869,Artie Ulmer,SFO,27,,12,2,,,,,,,,,,,1.0,6,6,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
870,Dimitrius Underwood,DAL,23,,15,0,,,,,,,,,,,4.0,11,6,
871,Regan Upshaw,OAK,25,rde,16,7,,,,,,1,0,2,8,0,6.0,17,5,
872,Brian Urlacher*,CHI,22,MLB,16,14,2,19,0,19,0,0,0,1,0,0,8.0,101,24,
873,Eric Vance,TAM,25,,14,0,,,,,,,,,,,,1,0,
874,Darrick Vaughn,ATL,22,,16,0,,,,,,0,1,1,0,0,,10,1,
875,Troy Vincent*,PHI,29,LCB,16,16,5,34,0,17,0,3,0,2,0,0,1.0,64,13,
876,Kimo von Oelhoffen,PIT,29,NT,16,16,,,,,,1,0,0,0,0,1.0,26,13,
877,Mike Vrabel,PIT,25,,15,0,,,,,,0,0,1,0,0,1.0,3,2,
878,Andre Wadsworth,ARI,26,LDE,9,8,,,,,,1,0,0,0,0,1.0,10,3,
879,Brian Walker,MIA,28,SS,16,16,7,80,0,31,0,2,0,0,0,0,2.0,60,28,
880,Darnell Walker,DET,30,,11,2,1,5,0,5,0,,,,,,,16,1,
881,Denard Walker,TEN,27,LCB,15,14,2,4,0,4,0,0,1,0,0,0,,44,1,
882,Gary Walker,JAX,27,LDT,15,14,,,,,,2,0,0,0,0,5.0,40,3,
883,Marquis Walker,DET,28,,12,2,1,12,0,12,0,1,1,2,0,0,,25,2,
884,Ken Walter,CAR,28,,16,0,,,,,,0,2,2,-11,0,,,,
885,Troy Walters,MIN,24,,12,0,,,,,,0,2,1,0,0,,,,
886,Zack Walz,ARI,24,llb,6,5,1,0,0,0,0,,,,,,,20,10,
887,Hines Ward,PIT,24,WR,16,15,,,,,,0,2,1,0,0,,,,
888,Eric Warfield,KAN,24,,13,3,,,,,,,,,,,,19,2,
889,Peter Warrick,CIN,23,WR,16,16,,,,,,0,2,1,0,0,,,,
890,Dewayne Washington,PIT,28,RCB,16,16,5,59,0,31,0,,,,,,,69,9,
891,Keith Washington,BAL,28,,16,0,,,,,,0,0,1,0,0,,11,7,
892,Marcus Washington,IND,23,,16,0,1,1,0,1,0,1,0,0,0,0,2.0,7,5,
893,Ted Washington*,BUF,32,NT,16,16,,,,,,,,,,,2.5,37,21,
894,Chris Watson,BUF,23,lcb,16,5,,,,,,0,4,2,0,0,,24,6,
895,Ricky Watters,SEA,31,RB,16,16,,,,,,0,5,2,0,0,,,,
896,Nate Wayne,GNB,25,RLB,16,13,,,,,,1,0,1,9,0,2.0,75,26,
897,Fred Weary,NOR,26,RCB,12,12,2,27,0,27,0,2,0,0,0,0,2.0,48,7,
898,Andre Weathers,NYG,24,,1,0,,,,,,,,,,,,1,0,
899,Jason Webster,SFO,23,RCB,16,10,2,78,1,70,0,1,0,1,1,0,,43,12,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
900,Larry Webster,BAL,31,,5,0,,,,,,0,0,1,0,0,,4,1,
901,Nate Webster,TAM,23,,16,0,,,,,,,,,,,,17,3,
902,John Welbourn,PHI,24,LG,16,16,,,,,,0,0,1,0,0,,,,
903,Dean Wells,CAR,30,LLB,16,14,1,14,0,14,0,,,,,,,57,11,
904,Mike Wells,CHI,29,RDT,16,14,1,21,0,21,0,,,,,,1.0,31,17,
905,Greg Wesley,KAN,22,SS,16,16,2,28,0,28,0,2,0,1,0,0,1.0,72,13,
906,Lyle West,NYG,24,,16,1,,,,,,0,0,1,0,0,,8,0,
907,Bryant Westbrook,DET,26,LCB,13,13,6,126,1,101,0,,,,,,,36,13,
908,Tyrone Wheatley,OAK,28,RB,14,13,,,,,,0,4,1,0,0,,,,
909,Larry Whigham,NWE,28,,14,4,,,,,,,,,,,,20,8,
910,Reggie White,CAR,39,LDE,16,16,,,,,,1,0,1,0,0,5.5,15,1,
911,Steve White,TAM,27,,15,0,,,,,,1,0,0,0,0,2.0,15,7,
912,Willie Whitehead,NOR,27,,16,2,,,,,,1,0,0,0,0,5.5,17,10,
913,Brandon Whiting,PHI,24,LDE,16,11,,,,,,1,0,2,0,0,3.5,23,11,
914,Bernard Whittington,IND,29,LDT,15,12,,,,,,,,,,,1.0,31,11,
915,Zach Wiegert,JAX,28,RT,8,8,,,,,,0,0,1,0,0,,,,
916,Casey Wiegmann,CHI,27,C,16,10,,,,,,0,0,1,0,0,,,,
917,Chuck Wiley,ATL,25,,16,0,,,,,,,,,,,4.0,25,14,
918,Marcellus Wiley,BUF,26,RDE,16,15,,,,,,3,0,1,0,0,10.5,41,24,
919,Michael Wiley,DAL,22,,10,0,,,,,,0,3,1,0,0,,,,
920,Terrence Wilkins,IND,25,wr,14,7,,,,,,0,4,1,0,0,,,,
921,Dan Wilkinson,WAS,27,LDT,16,16,,,,,,,,,,,3.5,15,5,
922,Aeneas Williams,ARI,32,LCB,16,16,5,102,0,48,0,2,0,2,104,1,,48,14,
923,Brian Williams,GNB,28,,4,3,,,,,,1,0,1,0,0,0.5,17,8,
924,Charlie Williams,DAL,28,,11,0,1,0,0,0,0,,,,,,,10,6,
925,Dan Williams,KAN,31,RDT,12,10,,,,,,0,1,1,9,0,7.5,30,5,
926,Darryl Williams,CIN,30,FS,16,16,1,36,1,36,0,3,0,0,0,0,,80,21,
927,Elijah Williams,ATL,25,,15,3,1,1,0,1,0,,,,,,,,,
928,George Williams,NYG,25,,13,0,,,,,,0,0,1,0,0,,,,
929,Jamal Williams,SDG,24,LDT,16,16,,,,,,1,0,0,0,0,1.0,46,7,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
930,James Williams,SEA,22,,10,0,,,,,,,,,,,,,,1
931,James Williams,CHI,32,RT,16,16,,,,,,0,0,1,0,0,,,,
932,Jay Williams,CAR,29,RDE,16,14,,,,,,1,0,0,0,0,6.0,21,6,
933,Josh Williams,IND,24,ldt,14,7,,,,,,1,0,1,0,0,3.0,26,16,1
934,K.D. Williams,GNB,27,,16,3,,,,,,0,0,1,0,0,0.5,10,3,
935,Karl Williams,TAM,29,,13,0,,,,,,0,2,1,0,0,,,,
936,Kevin Williams,SFO,29,,16,0,,,,,,0,1,1,0,0,,,,
937,Kevin Williams,2TM,25,,11,7,,,,,,,,,,,,7,7,
938,Moe Williams,MIN,26,,16,0,,,,,,0,0,1,0,0,,,,
939,Pat Williams,BUF,28,,16,4,,,,,,1,0,2,0,0,2.5,37,18,
940,Ricky Williams,NOR,23,RB,10,10,,,,,,0,6,2,0,0,,,,
941,Shaun Williams,NYG,24,FS,16,16,3,52,0,40,0,0,0,1,0,0,,68,17,
942,Tony Williams,MIN,25,RDT,14,12,,,,,,,,,,,4.0,27,6,
943,Tyrone Williams,GNB,27,RCB,16,16,4,105,1,46,0,,,,,,,50,8,
944,Tyrone Williams,2TM,28,,13,0,,,,,,,,,,,1.5,9,1,
945,Wally Williams,NOR,29,LG,16,16,,,,,,0,0,1,0,0,,,,
946,Willie Williams,SEA,30,RCB,16,15,4,74,1,69,0,1,0,1,0,0,1.0,51,9,
947,Al Wilson,DEN,23,MLB,15,14,3,21,0,20,0,,,,,,5.0,47,13,
948,Jerry Wilson,MIA,27,,16,1,1,19,0,19,0,1,0,0,0,0,0.5,30,9,
949,Reinard Wilson,CIN,27,,14,0,,,,,,2,0,1,3,0,3.0,9,6,
950,Troy Wilson,CHI,30,,6,0,,,,,,,,,,,1.0,10,0,
951,Jason Wiltz,NYJ,24,,15,1,,,,,,,,,,,1.0,7,3,
952,Antoine Winfield,BUF,23,LCB,11,11,1,8,0,8,0,,,,,,,39,7,
953,Grant Wistrom,STL,24,RDE,16,16,,,,,,1,0,0,0,0,11.0,51,12,
954,Kailee Wong,MIN,24,MLB,16,16,2,28,0,14,0,0,1,0,0,0,2.0,83,28,
955,Lee Woodall,CAR,31,RLB,16,16,1,0,0,0,0,2,0,1,0,0,,71,26,
956,Shawn Wooden,CHI,27,,11,0,,,,,,1,0,1,3,0,,8,3,
957,Jerome Woods,KAN,27,FS,16,16,2,0,0,0,0,1,0,0,0,0,2.0,75,7,
958,Charles Woodson*,OAK,24,LCB,16,16,4,36,0,23,0,3,0,1,0,0,,66,13,
959,Darren Woodson,DAL,31,SS,11,11,2,12,0,12,0,1,0,0,0,0,,62,10,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
960,Rod Woodson*,BAL,35,FS,16,16,4,20,0,18,0,2,0,3,4,0,,67,10,
961,Barron Wortham,DAL,31,MLB,16,11,2,1,0,1,0,2,0,1,0,0,,55,10,
962,Anthony Wright,DAL,24,,4,2,,,,,,0,3,1,-3,0,,,,
963,Kenny Wright,MIN,23,lcb,16,7,,,,,,0,0,1,11,0,,34,6,
964,Kenyatta Wright,BUF,22,,16,1,,,,,,,,,,,,34,6,
965,Renaldo Wynn,JAX,26,LDE,14,14,,,,,,1,0,0,0,0,3.5,31,4,
966,Jimmy Wyrick,DET,24,,6,0,,,,,,1,0,0,0,0,,31,5,
967,Craig Yeast,CIN,24,wr,15,7,,,,,,0,3,1,0,0,,,,
968,Brian Young,STL,23,,11,0,,,,,,,,,,,,4,2,
969,Bryant Young,SFO,28,LDT,15,15,,,,,,1,0,1,0,0,9.5,33,12,
970,Floyd Young,TAM,25,,7,0,,,,,,,,,,,,1,0,
971,Steve Zahursky,CLE,24,RT/LG,16,16,,,,,,0,0,3,0,0,,,,
972,Peppi Zellner,DAL,25,,12,0,,,,,,,,,,,2.0,7,3,
973,Jeff Zgonina,STL,30,RDT,16,11,,,,,,0,0,3,0,0,2.0,30,7,
